"","poll.end.date","poll.source","party","national","new.south.wales","victoria","queensland","south.australia.nt","western.australia","capitals","others","male","female","x18.24","x25.39","x40.54","x55.","x18.34","x35.49","x50."
"201","30-Sep-11","Newspoll","OTH",12,"11",9,14,15,13,11,13,12,12,NA,NA,NA,"",12,13,11
"202","30-Sep-11","Newspoll","ALP",27,"26",32,26,28,24,29,25,27,28,NA,NA,NA,"",27,26,29
"203","30-Sep-11","Newspoll","GRN",13,"13",15,10,14,13,14,10,11,14,NA,NA,NA,"",20,15,6
"204","10-Sep-11","Nielsen","IND",6,"8",2,8,8,4,6,7,8,5,6,7,7,"5",NA,NA,NA
"205","10-Sep-11","Nielsen","FFP",2,"2",3,3,2,2,3,2,2,3,3,3,2,"2",NA,NA,NA
"206","10-Sep-11","Nielsen","COAL",48,"50",45,50,48,50,46,50,49,47,43,44,44,"56",NA,NA,NA
"207","10-Sep-11","Nielsen","OTH",4,"3",3,5,6,3,4,3,5,3,5,3,6,"2",NA,NA,NA
"208","10-Sep-11","Nielsen","ALP",27,"27",31,25,28,23,27,28,25,29,25,28,26,"29",NA,NA,NA
"209","10-Sep-11","Nielsen","GRN",13,"11",16,10,9,18,14,10,11,14,19,15,15,"7",NA,NA,NA
"210","13-Aug-11","Nielsen","IND",6,"7",5,7,8,4,5,8,8,5,2,7,7,"7",NA,NA,NA
"211","13-Aug-11","Nielsen","FFP",2,"2",3,2,3,3,3,2,2,2,4,3,2,"1",NA,NA,NA
"212","13-Aug-11","Nielsen","COAL",48,"47",40,55,52,54,44,54,50,46,42,44,49,"52",NA,NA,NA
"213","13-Aug-11","Nielsen","OTH",3,"5",3,3,3,3,4,3,4,3,4,4,5,"2",NA,NA,NA
"214","13-Aug-11","Nielsen","ALP",28,"25",35,25,26,31,29,26,26,30,26,29,29,"29",NA,NA,NA
"215","13-Aug-11","Nielsen","GRN",12,"15",14,8,8,5,14,8,10,13,21,14,9,"8",NA,NA,NA
"216","16-Jul-11","Nielsen","IND",6,"6",4,7,9,4,5,7,6,6,5,5,7,"5",NA,NA,NA
"217","16-Jul-11","Nielsen","FFP",2,"<0.5",3,3,2,1,1,2,1,2,2,3,1,"1",NA,NA,NA
"218","16-Jul-11","Nielsen","COAL",51,"50",47,56,53,53,50,53,53,50,46,47,50,"57",NA,NA,NA
"219","16-Jul-11","Nielsen","OTH",5,"5",4,5,4,7,4,6,6,3,3,7,4,"4",NA,NA,NA
"220","16-Jul-11","Nielsen","ALP",26,"26",30,21,27,24,28,23,24,28,24,26,27,"27",NA,NA,NA
"221","16-Jul-11","Nielsen","GRN",11,"13",13,7,6,11,11,10,10,12,20,12,11,"6",NA,NA,NA
"222","30-Jun-11","Newspoll","COAL",45,"45",42,48,42,49,43,47,48,42,NA,NA,NA,"",39,45,49
"223","30-Jun-11","Newspoll","OTH",11,"14",8,11,12,11,10,14,12,11,NA,NA,NA,"",13,11,10
"224","30-Jun-11","Newspoll","ALP",32,"30",37,31,34,27,34,29,30,34,NA,NA,NA,"",30,32,33
"225","30-Jun-11","Newspoll","GRN",12,"11",13,10,12,13,13,10,10,13,NA,NA,NA,"",18,12,8
"226","16-Jun-11","Nielsen","IND",4,"5",2,6,4,4,3,7,5,4,2,3,7,"5",NA,NA,NA
