"","poll.end.date","poll.source","liberal","national","coalition","alp","greens","palmer.united","family.first","democrats","pauline.hanson.one.nation","others","coalition.2pp","labor.2pp","satisfied.pm","dissatisfied.pm","satisfied.loto","dissatisfied.loto","prime.minister.ppm","opposition.leader..ppm.","prime.minister","opposition.leader"
"81",2013-09-05,"ReachTEL",40.4,3.1,43.5,33.7,10.2,7,NA,NA,NA,5.7,53,47,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"82",2013-09-05,"Morgan Multi",NA,NA,45,31.5,9.5,NA,NA,NA,NA,14,53.5,46.5,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"83",2013-09-05,"Newspoll",NA,NA,46,33,9,NA,NA,NA,NA,12,54,46,33,58,44,50,43,45,"MR KEVIN RUDD","MR TONY ABBOTT"
"84",2013-09-05,"Nielsen",NA,NA,46,33,11,NA,NA,NA,NA,10,54,46,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"85",2013-09-05,"Essential Online",NA,NA,43,35,10,NA,NA,NA,NA,12,52,48,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"86",2013-09-04,"ReachTEL",40.5,3.1,43.6,32.7,10,6.1,NA,NA,NA,7.6,53,47,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"87",2013-09-04,"Galaxy",NA,NA,45,35,9,NA,NA,NA,NA,11,53,47,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"88",2013-09-03,"ReachTEL",41.3,2.9,44.2,35.3,9.7,4.4,NA,NA,NA,6.3,52,48,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"89",2013-09-02,"Essential",41,3,44,35,10,NA,NA,NA,NA,11,53,47,42,47,40,49,44,38,"MR KEVIN RUDD","MR TONY ABBOTT"
"90",2013-09-01,"Morgan Multi",40,3,43,34,11,NA,NA,NA,NA,12,52,48,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"91",2013-09-01,"Newspoll",NA,NA,46,33,10,NA,NA,NA,NA,11,54,46,32,58,41,51,41,43,"MR KEVIN RUDD","MR TONY ABBOTT"
"92",2013-09-01,"Galaxy",NA,NA,46,35,10,NA,NA,NA,NA,9,53,47,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"93",2013-08-26,"ReachTEL",43.2,3.3,46.5,35.7,10.1,2.4,NA,NA,NA,5.3,53,47,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"94",2013-08-26,"Essential",40,2,42,38,11,NA,NA,NA,NA,9,50,50,NA,NA,37,52,43,34,"MR KEVIN RUDD","MR TONY ABBOTT"
"95",2013-08-25,"Newspoll",NA,NA,47,37,9,NA,NA,NA,NA,7,54,46,36,52,42,49,44,40,"MR KEVIN RUDD","MR TONY ABBOTT"
"96",2013-08-25,"Morgan Multi",42.5,2.5,45,34.5,11,NA,NA,NA,NA,9.5,51.5,48.5,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"97",2013-08-22,"Nielsen",NA,NA,47,35,10,NA,NA,NA,NA,7,53,47,43,51,44,52,48,45,"MR KEVIN RUDD","MR TONY ABBOTT"
"98",2013-08-19,"Essential",41,3,44,40,8,NA,NA,NA,NA,8,50,50,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"99",2013-08-18,"Newspoll",NA,NA,47,34,9,NA,NA,NA,NA,10,54,46,35,54,41,51,43,41,"MR KEVIN RUDD","MR TONY ABBOTT"
"100",2013-08-18,"Morgan Multi",41,3.5,44.5,36.5,9.5,NA,NA,NA,NA,9.5,51,49,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"101",2013-08-15,"Galaxy",NA,NA,45,36,10,NA,NA,NA,NA,9,52,48,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"102",2013-08-13,"Essential",40,3,43,39,8,NA,NA,NA,NA,10,51,49,45,43,37,51,47,35,"MR KEVIN RUDD","MR TONY ABBOTT"
"103",2013-08-11,"Newspoll",NA,NA,46,35,11,NA,NA,NA,NA,8,52,48,39,48,38,52,46,37,"MR KEVIN RUDD","MR TONY ABBOTT"
"104",2013-08-11,"Morgan Multi",41,3,44,36.5,10.5,NA,NA,NA,NA,9,50,50,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"105",2013-08-10,"ReachTEL",43.6,3.3,46.9,36.9,8.9,1.7,NA,NA,NA,5.7,53,47,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"106",2013-08-09,"Galaxy",NA,NA,45,38,10,NA,NA,NA,NA,7,51,49,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"107",2013-08-08,"Nielsen",NA,NA,46,37,10,NA,NA,NA,NA,8,52,48,48,47,45,52,50,42,"MR KEVIN RUDD","MR TONY ABBOTT"
"108",2013-08-05,"Essential",40,3,43,38,9,NA,NA,NA,NA,10,51,49,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"109",2013-08-04,"ReachTEL",42.3,3.4,45.7,37.5,8.2,1.8,NA,NA,NA,6.8,52,48,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"110",2013-08-04,"Morgan Multi",41,2,43,38,9.5,NA,NA,NA,NA,9.5,50,50,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
